2026/01/16 11:42:06 [error] 189#189: *30 open() "/var/www/html/en" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /en HTTP/1.1", host: "him-edu.local"
2026/01/16 13:47:55 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:55 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:55 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:55 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:55 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:55 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:56 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:56 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:56 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:56 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:56 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:56 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:56 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:47:57 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
